ref_area.label,indicator.label,source.label,sex.label,time,obs_value,note_indicator.label,note_source.label
Belarus,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BLR - LFS - Labour force survey,Sex: Male,2018,9.5,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, all contributing family workers, and producers exclusively for own final use | Informal employees: Do not have a written contract nor social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are not registered; have unregistered employees; are engaged in non-agricultural activities; and are not producers of goods exclusively for own final use",Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents
Belarus,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BLR - LFS - Labour force survey,Sex: Female,2018,6.62,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, all contributing family workers, and producers exclusively for own final use | Informal employees: Do not have a written contract nor social security coverage nor paid vacation nor paid sick leave | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are not registered; have unregistered employees; are engaged in non-agricultural activities; and are not producers of goods exclusively for own final use",Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - LFS - Encuesta Continua de Empleo,Sex: Total,2006,75.15,,Age coverage - minimum age: 10 years old
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - LFS - Encuesta Continua de Empleo,Sex: Male,2006,72.41,,Age coverage - minimum age: 10 years old
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - LFS - Encuesta Continua de Empleo,Sex: Female,2006,78.51,,Age coverage - minimum age: 10 years old
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - HIES - Encuesta de Hogares,Sex: Total,2008,72.63,,Age coverage - minimum age: 10 years old
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - HIES - Encuesta de Hogares,Sex: Male,2008,69.69,,Age coverage - minimum age: 10 years old
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - HIES - Encuesta de Hogares,Sex: Female,2008,76.27,,Age coverage - minimum age: 10 years old
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - HIES - Encuesta de Hogares,Sex: Total,2009,71.81,,Age coverage - minimum age: 10 years old
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - HIES - Encuesta de Hogares,Sex: Male,2009,71.28,,Age coverage - minimum age: 10 years old
Bolivia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BOL - HIES - Encuesta de Hogares,Sex: Female,2009,72.47,,Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Total,2009,42.21,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Male,2009,39.2,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Female,2009,45.89,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Total,2011,38.38,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Male,2011,36.79,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Female,2011,40.37,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Total,2012,38.05,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Male,2012,36.65,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Female,2012,39.78,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Total,2013,36.85,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Male,2013,35.82,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Brazil,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),BRA - HS - Pesquisa Nacional por Amostra de Domicílios,Sex: Female,2013,38.11,,Data reference period: September | Population coverage: Excluding institutional population | Age coverage - minimum age: 10 years old
Chile,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CHL - LFS - Encuesta Nacional de Empleo,Sex: Total,2017,28.3,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter
Chile,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CHL - LFS - Encuesta Nacional de Empleo,Sex: Male,2017,26.27,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter
Chile,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CHL - LFS - Encuesta Nacional de Empleo,Sex: Female,2017,30.95,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Total,2008,56.23,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have a written contract | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are below a certain size; and are not registered",Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Male,2008,54.13,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have a written contract | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are below a certain size; and are not registered",Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Female,2008,58.77,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have a written contract | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; do not keep a complete set of accounts; are below a certain size; and are not registered",Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Total,2009,57.39,,Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Male,2009,54.76,,Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Female,2009,60.51,,Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Total,2010,59.64,,Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Male,2010,57.04,,Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Female,2010,62.65,,Data reference period: Second semester | Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Total,2011,64.44,Break in series: Methodology revised,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Male,2011,61.69,Break in series: Methodology revised,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Female,2011,60.24,Break in series: Methodology revised,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Total,2012,64.55,,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Male,2012,61.49,,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Female,2012,60.59,,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Total,2013,63.66,,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Male,2013,61.23,,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Female,2013,58.73,,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Total,2017,47.32,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have a written contract nor social security coverage | Economic units in the informal sector: Are below a certain size",Population coverage: Excluding both institutional population and armed forces and/or conscripts
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Male,2017,45.39,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have a written contract nor social security coverage | Economic units in the informal sector: Are below a certain size",Population coverage: Excluding both institutional population and armed forces and/or conscripts
Colombia,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),COL - LFS - Gran Encuesta Integrada de Hogares,Sex: Female,2017,49.58,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have a written contract nor social security coverage | Economic units in the informal sector: Are below a certain size",Population coverage: Excluding both institutional population and armed forces and/or conscripts
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Total,2014,42.88,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Male,2014,39.46,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Female,2014,47.56,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Informal employees: Do not have social security coverage",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Total,2015,43.17,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Male,2015,39.96,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Female,2015,47.69,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and all contributing family workers | Economic units in the informal sector: Do not keep a complete set of accounts; are below a certain size; and are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Total,2016,40.88,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and producers exclusively for own final use | Economic units in the informal sector: Produce goods or services for sale or barter; do not keep a complete set of accounts; and are not registered | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; and are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Male,2016,39.01,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and producers exclusively for own final use | Economic units in the informal sector: Produce goods or services for sale or barter; do not keep a complete set of accounts; and are not registered | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; and are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Female,2016,43.69,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, and producers exclusively for own final use | Economic units in the informal sector: Produce goods or services for sale or barter; do not keep a complete set of accounts; and are not registered | Economic units in the informal sector: Produce goods or services for sale or barter; are owned by household member; and are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Total,2017,40.73,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have social security coverage | Economic units in the informal sector: Are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Male,2017,38.33,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have social security coverage | Economic units in the informal sector: Are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - LFS - Encuesta Continua de Empleo,Sex: Female,2017,44.31,"Workers in informal employment: Employees holding informal jobs, entrepreneurs in the informal sector, contributing family workers in the informal sector, and producers exclusively for own final use | Informal employees: Do not have social security coverage | Economic units in the informal sector: Are not registered",
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - HS - Encuesta Nacional de Hogares,Sex: Total,2010,33.83,,Data reference period: July | Age coverage - minimum age: 12 years old
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - HS - Encuesta Nacional de Hogares,Sex: Male,2010,30.25,,Data reference period: July | Age coverage - minimum age: 12 years old
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - HS - Encuesta Nacional de Hogares,Sex: Female,2010,38.67,,Data reference period: July | Age coverage - minimum age: 12 years old
Costa Rica,SDG indicator 8.3.1 - Proportion of informal employment in non-agricultural employment (%),CRI - HS - Encuesta Nacional de Hogares,Sex: Total,2011,33.59,,Data reference period: July | Age coverage - minimum age: 12 years old
